"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"209828_s_at",-5.51356131085294,3.06879039140845,-30.4365034392486,3.4310075470757e-39,1.30220460441711e-34,74.0569128106003
"234156_at",-6.40483263629412,2.57853412697183,-29.9451176903596,8.89936673038158e-39,1.68883282442451e-34,73.2909306963943
"236823_at",-5.02884413835294,3.5385833726338,-27.1510149776811,2.63839008485634e-36,3.33791524268792e-32,68.6199529823662
"1569446_x_at",-4.92367369870588,2.72115225974648,-26.9385662425449,4.15014150063758e-36,3.93786176287997e-32,68.241449937352
"1552477_a_at",-5.18524283811765,2.37730834761972,-25.1448217928655,2.15281716753245e-34,1.63416045553053e-30,64.9024197892042
"216470_x_at",-3.39101923052941,2.88742576567606,-23.3855157020594,1.30536663189081e-32,8.25731419113065e-29,61.3610020234482
"1563845_at",-4.25326024391176,3.17366812040845,-20.5533660873163,1.6687775616851e-29,9.04811193945663e-26,55.0371952979061
"236475_at",-6.99346689785294,3.39397699294366,-19.830512437941,1.16704157619272e-28,5.53673699785232e-25,53.2877961278655
"244751_at",-9.22217012935294,2.25682633764789,-18.4517917642853,5.52274171631797e-27,2.32900154556814e-23,49.7848130054933
"213421_x_at",-6.51139068261765,3.00257431949296,-17.6506550550603,5.7029606132327e-26,2.16450167114634e-22,47.6441354888222
"219552_at",-4.18287251514706,3.27355453119718,-17.1292335248836,2.70905025951256e-25,9.34720850450363e-22,46.2075326778926
"1566465_at",-6.49866980317647,3.75465995876056,-16.3173702425325,3.26387118116287e-24,1.0323080567488e-20,43.9005471599338
"210364_at",-5.07680967211765,3.48091339646479,-16.1494630778659,5.51467084047936e-24,1.61002936215041e-20,43.4125418684522
"1555485_s_at",-4.80914964564706,2.82725492098592,-16.060062039723,7.30136370580391e-24,1.97939970064344e-20,43.151164654385
"206878_at",-7.81008269647059,2.63812074214085,-15.9906996868752,9.08359299836075e-24,2.29839125773189e-20,42.9476324291939
"1554923_at",-3.51202317602941,2.74758844056338,-15.9104284109156,1.17043018048363e-23,2.77640669187973e-20,42.711279236055
"1559108_at",-4.88511707579412,1.67523681716901,-15.8156680321452,1.58030984968068e-23,3.52818117851651e-20,42.4311415053024
"236496_at",-4.49560634767647,3.0384241455493,-15.3398297141596,7.25691693250522e-23,1.53016125142391e-19,41.0059298290071
"1557740_a_at",-6.66448143614706,3.46138370652113,-15.1671292485343,1.27065277847329e-22,2.53822923969344e-19,40.48097416982
"207463_x_at",-6.03681035288235,2.75320758609859,-14.9959297268864,2.22218789309213e-22,4.21704596472094e-19,39.956507588283
"214903_at",-6.360121865,2.62312745480282,-14.7872810113206,4.4135945824834e-22,7.97683660874166e-19,39.3118076183554
"207182_at",-11.0223385064118,2.82462835401408,-14.2487830273875,2.66045937987208e-21,4.58977615016658e-18,37.6197654671334
"1558280_s_at",-3.86245632455882,2.50539401229577,-14.1457381648332,3.76763845606774e-21,6.21725869398239e-18,37.2913350199402
"231985_at",-4.18452298944118,3.55578048605634,-14.086835817811,4.59951634474335e-21,7.18089323196939e-18,37.1029252402827
"1556400_at",-3.17703912335294,2.74194707464789,-14.0785871831007,4.72999764976642e-21,7.18089323196939e-18,37.0765013987993
"1563243_at",-3.50229336785294,3.68830954670422,-14.0062367738926,6.04758297283424e-21,8.82807554426734e-18,36.8443208694261
"228113_at",-7.54035570802941,2.91148979894366,-13.8470822956884,1.04079827681235e-20,1.46305399252356e-17,36.3309728350103
"232765_x_at",-2.85781089514706,4.11362323987324,-13.7811342637684,1.30460809251502e-20,1.7683962694041e-17,36.1172096970399
"208153_s_at",-9.65789806958823,2.69679241922535,-13.7682443962276,1.36359405437113e-20,1.78461547377938e-17,36.0753567498423
"244239_at",-4.48385393238235,2.26425745557747,-13.7017597861433,1.71352125575028e-20,2.12583159242729e-17,35.8591101632526
"216259_at",-3.84133340297059,2.81686943884507,-13.697915659507,1.73633291261122e-20,2.12583159242729e-17,35.8465876988352
"215811_at",-4.59798038976471,2.11571989221127,-13.2414880773,8.46116723074673e-20,1.00354731586175e-16,34.344882357749
"1558299_at",-5.07995999135294,3.2132637101831,-13.0598498077711,1.60092285343217e-19,1.84125533270196e-16,33.7390748858663
"1569445_at",-4.99578916855882,2.79268037669014,-13.0207962120756,1.8371910215266e-19,2.05084553032414e-16,33.608213491417
"201292_at",9.24216229338236,10.2427282002535,12.9448906978842,2.40211728050901e-19,2.60485597898397e-16,33.3532531413975
"214145_s_at",-6.52502666270588,4.05020544839437,-12.6580444803893,6.66046944655925e-19,7.02198492707527e-16,32.3824445158864
"215133_s_at",-3.84878683667647,3.81582463723944,-12.3937502043992,1.72034753923978e-18,1.76470460822451e-15,31.4777691294633
"207383_s_at",-4.01998308158823,2.39747263814085,-12.3630849622599,1.92167850181093e-18,1.919352259414e-15,31.3721731036733
"215395_x_at",-2.16346170558823,2.20963960678873,-12.337581739469,2.10714092480601e-18,2.05062632461762e-15,31.2842532284502
"216073_at",-4.74533373488235,3.1294184218169,-12.2481605647575,2.91252990192186e-18,2.76355399743856e-15,30.9752713285954
"232923_at",-3.43021375391176,3.29573912371831,-12.1462409705447,4.2172309386728e-18,3.90392153771676e-15,30.6217574994748
"220069_at",-2.15372568729412,2.24249054509859,-11.979659519671,7.74441249366951e-18,6.99836742344601e-15,30.0408910584603
"1556319_at",-3.53612850094118,3.98646435792958,-11.7860930934477,1.5761104043149e-17,1.39115568105507e-14,29.3611822429506
"206914_at",-10.2569705534118,3.4975207668169,-11.7212944889175,2.00143183322257e-17,1.69236915652376e-14,29.1325112952209
"235221_at",-10.5166861331176,2.94464001574648,-11.7206024648528,2.00655035157214e-17,1.69236915652376e-14,29.1300661340392
"229372_at",-6.41320859132353,2.3350069648169,-11.5876398701448,3.28132164945079e-17,2.70737569311424e-14,28.659075026835
"1557688_at",-4.84662230008824,2.66729391271831,-11.552776128058,3.73430839573391e-17,3.01038348589876e-14,28.5351881884072
"204760_s_at",-4.23436160291176,2.31590894528169,-11.5475678968807,3.80719838022713e-17,3.01038348589876e-14,28.5166671209637
"1553911_at",-7.02407527847059,3.95146530497183,-11.4072016404478,6.41801495823695e-17,4.94611166341981e-14,28.016160262228
"214365_at",-2.69311257405882,3.31764868394366,-11.3997366352133,6.59919482119505e-17,4.94611166341981e-14,27.9894696236721
"219965_s_at",-3.46059428955882,3.0285830188169,-11.3978317500253,6.64624795369159e-17,4.94611166341981e-14,27.9826576632433
"1568931_at",-5.18985368238235,2.73933901984507,-11.3665179293625,7.47010205092116e-17,5.45231256232041e-14,27.8706099623301
"220359_s_at",-5.58157572514706,3.47458045512676,-11.2948113464248,9.76632962565121e-17,6.99379763418804e-14,27.6135468403394
"235455_at",-4.85919138708824,2.74218869452113,-11.2897900399624,9.95159349428794e-17,6.99449591633712e-14,27.5955207871669
"242173_at",-2.75744205032353,2.91403955585915,-11.2113163628021,1.33538216990496e-16,9.21510815937686e-14,27.3133837291685
"237584_at",-5.53089771935294,3.04123349232394,-11.1842980822331,1.47791529385126e-16,1.00165709040769e-13,27.216061172304
"239764_at",-5.01844727126471,3.64865948016902,-11.1668602902996,1.57795837261445e-16,1.05069880831946e-13,27.1531987897587
"1566040_at",-6.06434905138235,2.70986634639437,-11.1590383368842,1.62502627121697e-16,1.06338357065119e-13,27.1249883861537
"227747_at",-3.26749510208824,2.20413805238028,-11.1016378953492,2.01663988083965e-16,1.29728050910827e-13,26.9177308861055
"203213_at",7.12028598826471,9.74009988369014,11.0720355916914,2.25450345690853e-16,1.42612373672511e-13,26.8106811478844
"210348_at",-4.43745644061765,2.59530339295775,-11.0221620626911,2.72102160049354e-16,1.69301071844478e-13,26.6300744678239
"232557_at",-2.43174541129412,2.37039353795775,-10.9519174891423,3.54802449658314e-16,2.17196325392446e-13,26.3751673267934
"206275_s_at",-7.16344174505882,5.09611864322535,-10.7462420664642,7.74192552749927e-16,4.66408002334456e-13,25.6252777745372
"220142_at",-4.97022298552941,2.75920893521127,-10.7287785071454,8.2740098965077e-16,4.90674643143833e-13,25.5613669794318
"209827_s_at",-5.77036136732353,5.04446958276056,-10.702738307859,9.13665895024311e-16,5.33496544303888e-13,25.4659998821468
"207087_x_at",-5.75163628273529,3.31453250029578,-10.6591659368229,1.07877349571146e-15,6.20360140245949e-13,25.3062415865734
"231323_at",-3.515014322,2.27582587677465,-10.5822272211197,1.44723273389581e-15,8.19824943019128e-13,25.0235898745676
"1559975_at",-5.88470985411765,3.70633678805634,-10.5576341888143,1.5899613093631e-15,8.80837562976507e-13,24.9330933242012
"1556639_at",-3.68044792397059,2.9042062505493,-10.5557680162358,1.60135405610421e-15,8.80837562976507e-13,24.9262233292152
"1562701_at",-5.268197068,2.34501019414084,-10.5449445635757,1.66907053678621e-15,8.93993734182831e-13,24.8863705328306
"215002_at",-2.53651349688235,3.71563996626761,-10.5444268127385,1.67238117529064e-15,8.93993734182831e-13,24.8844637875119
"205391_x_at",-6.24233421120588,3.29073768012676,-10.29882893747,4.29488319478431e-15,2.26399995520616e-12,23.9764748350578
"240363_at",-2.91956390317647,5.11229897949296,-10.1970415656332,6.36085093801999e-15,3.30711967810426e-12,23.5981484098379
"1556401_a_at",-6.81661667005882,2.47794177912676,-10.1877849213187,6.59248549333188e-15,3.38123235694484e-12,23.5636858548031
"239120_at",-5.64811324652941,3.18723507180282,-10.1686085692337,7.09972897268682e-15,3.59284151239141e-12,23.4922620983916
"215021_s_at",-6.955308373,3.86517370830986,-10.0943303776855,9.46429669482141e-15,4.72641995730594e-12,23.2152275755857
"216184_s_at",-6.65546904835294,3.75647189123944,-10.0764110379146,1.01447829577657e-14,5.00045574518233e-12,23.1483043503073
"213651_at",-4.40113563855882,2.20135037294366,-10.0723629111525,1.03052087931638e-14,5.01440890430433e-12,23.1331810495692
"202503_s_at",8.28870281544118,9.89964911266197,10.0497468445207,1.12496317629514e-14,5.40466485988678e-12,23.0486578393118
"208352_x_at",-5.23233216920588,4.02006070846479,-10.0158329864109,1.28316958941197e-14,6.08767732456774e-12,22.9218088326179
"231739_at",-4.80505167114706,3.70640521104225,-9.96694591045861,1.55147709369088e-14,7.26972365604244e-12,22.7387405042338
"225891_at",-3.22758491376471,6.98633200577465,-9.9059195083492,1.96708275339664e-14,9.10471449053853e-12,22.5098624501732
"233355_at",-1.73087827929412,3.3274763125493,-9.83731014457885,2.56974732711298e-14,1.17508662714754e-11,22.2520857975873
"1559303_at",-3.05733643588235,2.46672419471831,-9.81431046204898,2.81087852526033e-14,1.27004861366346e-11,22.1655649645727
"244796_at",-1.8734667245,3.35662611315493,-9.81082403051592,2.84936745033548e-14,1.2722928495298e-11,22.1524449516889
"218180_s_at",-6.28446075805882,2.85838790083099,-9.80344713220035,2.93256267443956e-14,1.29421492727534e-11,22.1246804439986
"1559172_at",-2.38491450344118,2.76529806552113,-9.79575116374319,3.02196249727134e-14,1.3183398232349e-11,22.0957092238121
"238061_at",-2.77420281797059,2.77884426860563,-9.71513788380783,4.14036941174634e-14,1.78572250742523e-11,21.7918889538838
"206882_at",-8.23471934341176,3.99087917056338,-9.69719181039807,4.44136975195004e-14,1.89401963556755e-11,21.7241655893888
"1560026_at",-4.17310015455882,3.45933101005634,-9.6683316397842,4.97228848150551e-14,2.09686930030067e-11,21.6151898564014
"218039_at",6.85178391070588,10.5329803241409,9.65982384853366,5.140660514653e-14,2.1440508700345e-11,21.5830491472479
"1554803_s_at",-2.62001954464706,3.20822251364789,-9.58425189754304,6.9120411459809e-14,2.85151749624521e-11,21.2972501095305
"202705_at",7.86963502779412,9.02507252015493,9.58036952400633,7.01807601684095e-14,2.86412964670087e-11,21.2825530997355
"236037_at",-4.82109122155882,3.5398353588169,-9.50379647167385,9.47845058266104e-14,3.8270756746204e-11,20.992393716218
"216297_at",-3.04854962702941,3.23130474415493,-9.44996932396078,1.17115379284028e-13,4.67894432141683e-11,20.788104394774
"233813_at",-3.22026914329412,2.61931415687324,-9.44208728406971,1.20802619917441e-13,4.77598191286101e-11,20.7581679144676
"206109_at",-5.66321228358823,2.40553995774648,-9.40033074389167,1.4237464385432e-13,5.57081158025451e-11,20.5994818392743
"215137_at",-3.66272269844117,3.68925643869014,-9.37085989135749,1.59893612908729e-13,6.19245120850808e-11,20.4873923218562
"1558118_at",-3.85326363391176,3.52805843049296,-9.32860181796811,1.88864115222064e-13,7.24055417084668e-11,20.3265364689904
"210550_s_at",-5.68089434682353,2.95197164364789,-9.32455700152984,1.91899896631308e-13,7.28336867674465e-11,20.3111317922725
"207527_at",-3.20818890332353,2.80832808884507,-9.30691925984383,2.05721412702766e-13,7.7306440571493e-11,20.2439422181794
"1552400_a_at",-4.39209682217647,2.68675480522535,-9.27183583554598,2.36260526218962e-13,8.7912078550142e-11,20.1102166673842
"204444_at",6.65411447388236,8.71466645161972,9.25560317068973,2.51894067777599e-13,9.2819295615835e-11,20.0483087158675
"1555255_a_at",-3.41810091,5.90359512492958,-9.1733788861923,3.48580053173348e-13,1.27211609020589e-10,19.734391081315
"232408_at",-4.18739933244117,3.25101979194366,-9.14907449984142,3.83748468047035e-13,1.37358827461765e-10,19.6414971985281
"229596_at",-3.75132794714706,2.6676385186338,-9.14832542558137,3.84887251476306e-13,1.37358827461765e-10,19.6386334174015
"1564707_x_at",-2.90651700417647,2.62860876992958,-9.14678334411947,3.87242307488244e-13,1.37358827461765e-10,19.6327377563573
"239426_at",-2.81116537879412,2.9346492298169,-9.14223920370638,3.94266609076553e-13,1.38555508156403e-10,19.6153635846863
"240861_at",-3.82840152332353,2.76218212870423,-9.12523997440166,4.21698200949983e-13,1.46836087328951e-10,19.5503539966446
"1565692_at",-3.84171946288235,3.05170099791549,-9.0473759090919,5.74007890931819e-13,1.98053595385693e-10,19.2522965528576
"208320_at",-3.52154977652941,3.53599033521127,-9.02423537287731,6.29146381739816e-13,2.15122718671648e-10,19.1636282172641
"1558975_at",-2.38431036079412,3.3078796005493,-8.99643917073787,7.02458281488209e-13,2.38045550139317e-10,19.0570684052202
"205019_s_at",-5.07643590629412,2.80342982607042,-8.91903038077524,9.5509307752432e-13,3.20792943932372e-10,18.7600200885543
"231261_at",-2.87212860664706,2.44243961507042,-8.91599242416095,9.66686116326603e-13,3.2183863911456e-10,18.7483536263022
"202954_at",6.93311443088235,10.0552678053521,8.89738588572303,1.04083782477097e-12,3.43512685229193e-10,18.6768862624456
"1554702_at",-2.04038029452941,2.1081065508169,-8.89198386896554,1.06341724487888e-12,3.47939121656319e-10,18.6561327616356
"201291_s_at",8.46306284711765,9.75656146977465,8.8503786773222,1.25462988427886e-12,4.06993355794186e-10,18.4962274063418
"210400_at",-6.25174348617647,3.05712117040845,-8.83026257508185,1.35910557666442e-12,4.37148246243401e-10,18.418871724667
